Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Assessment,Chrome 106.0.0.0,,,2022-10-15 14:40:59,2022-10-15 14:42:04,1m - 5.094s,FAILED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 14:41:00,2022-10-15 14:41:42,42.898s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 14:41:00,2022-10-15 14:41:18,18.010s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 14:41:18,2022-10-15 14:41:18,0.219s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 14:41:18,2022-10-15 14:41:20,1.329s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 14:41:20,2022-10-15 14:41:21,1.119s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 14:41:21,2022-10-15 14:41:21,0.809s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 14:41:21,2022-10-15 14:41:32,10.036s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 14:41:32,2022-10-15 14:41:32,0.489s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 14:41:32,2022-10-15 14:41:42,10.010s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 15)",Chrome 106.0.0.0,,,2022-10-15 14:41:42,2022-10-15 14:41:42,0.392s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assessment,Chrome 106.0.0.0,,,2022-10-15 14:41:42,2022-10-15 14:42:04,21.839s,FAILED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 14:41:43,2022-10-15 14:41:43,0.457s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 14:41:43,2022-10-15 14:41:45,1.299s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Asesmen Create Test"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 14:41:45,2022-10-15 14:41:46,1.848s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 14:41:47,2022-10-15 14:41:47,0.754s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_1""))",Chrome 106.0.0.0,,,2022-10-15 14:41:47,2022-10-15 14:41:48,0.413s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_1""))",Chrome 106.0.0.0,,,2022-10-15 14:41:48,2022-10-15 14:41:48,0.543s,PASSED
